9.5383708E-01 -3.4038600E-01 -7.9646523E+05  9.3928766E+00  3.7377058E+00 -1.0753763E+10  9.1478048E+00  4.6667393E+00 -1.3481932E+10
1.2384849E+00 -3.7596112E-01 -8.6028469E+05  1.0552444E+01  3.6578481E+00 -1.0651091E+10  1.0313797E+01  4.5703328E+00 -1.3610117E+10
1.5367582E+00 -4.1488496E-01 -9.3062964E+05  1.1776230E+01  3.5632366E+00 -1.0534790E+10  1.1545522E+01  4.4578096E+00 -1.3744789E+10
1.8479548E+00 -4.5642767E-01 -1.0083265E+06  1.3061464E+01  3.4467884E+00 -1.0403626E+10  1.2839409E+01  4.3201464E+00 -1.3887999E+10
2.1725792E+00 -4.9974385E-01 -1.0943201E+06  1.4410717E+01  3.3155622E+00 -1.0258053E+10  1.4198422E+01  4.1659042E+00 -1.4039698E+10
2.5096634E+00 -5.4408677E-01 -1.1896951E+06  1.5821805E+01  3.1657624E+00 -1.0097605E+10  1.5619569E+01  3.9901617E+00 -1.4200875E+10
-3.0463853E-01 -2.1106769E-01 -3.6277960E+05  3.7870041E+00  3.4245010E+00 -7.7957723E+09  3.5585823E+00  4.2964305E+00 -9.0146564E+09
-1.1586705E-01 -2.1357970E-01 -3.8890115E+05  4.5258951E+00  3.4785782E+00 -7.7797677E+09  4.2931520E+00  4.3497914E+00 -9.0891600E+09
8.8595990E-02 -2.2264754E-01 -4.1734044E+05  5.3310513E+00  3.5125270E+00 -7.7542974E+09  5.0961809E+00  4.3811947E+00 -9.1645140E+09
3.0804049E-01 -2.3779795E-01 -4.4836800E+05  6.2015125E+00  3.5217846E+00 -7.7184829E+09  5.9666162E+00  4.3846285E+00 -9.2426002E+09
5.4182934E-01 -2.5850872E-01 -4.8228957E+05  7.1349327E+00  3.5183853E+00 -7.6739817E+09  6.9019283E+00  4.3751560E+00 -9.3220010E+09
7.8918766E-01 -2.8415311E-01 -5.1945132E+05  8.1300753E+00  3.4860291E+00 -7.6182290E+09  7.9003972E+00  4.3319424E+00 -9.4065468E+09
1.0499865E+00 -3.1407893E-01 -5.6024562E+05  9.1866438E+00  3.4430337E+00 -7.5535192E+09  8.9620077E+00  4.2778463E+00 -9.4939088E+09
1.3234597E+00 -3.4758142E-01 -6.0511910E+05  1.0302324E+01  3.3766832E+00 -7.4779708E+09  1.0083687E+01  4.1967131E+00 -9.5868964E+09
1.6098238E+00 -3.8390946E-01 -6.5458016E+05  1.1478636E+01  3.2977697E+00 -7.3925805E+09  1.1267356E+01  4.1017888E+00 -9.6847130E+09
1.9084598E+00 -4.2234474E-01 -7.0920972E+05  1.2713191E+01  3.1999112E+00 -7.2964601E+09  1.2509903E+01  3.9849398E+00 -9.7888207E+09
2.2198851E+00 -4.6207225E-01 -7.6967192E+05  1.4008459E+01  3.0896410E+00 -7.1899336E+09  1.3814153E+01  3.8540556E+00 -9.8991807E+09
2.5432494E+00 -5.0236524E-01 -8.3672924E+05  1.5362625E+01  2.9635687E+00 -7.0726678E+09  1.5177568E+01  3.7047305E+00 -1.0016493E+10
-1.7491458E-01 -1.8836112E-01 -2.5511745E+05  3.7613802E+00  3.1329819E+00 -5.4840847E+09  3.5506558E+00  3.9153617E+00 -6.3372659E+09
